Type,Year,County,Population,Incidence,Legend
Neuroinvasive disease cases,1999-2022,22041,20774,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22043,22397,1.12,>1.10
Neuroinvasive disease cases,1999-2022,22045,73216,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22047,33364,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22051,434133,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22053,31595,0.66,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22055,224898,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22057,97031,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22059,14941,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22061,47068,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22063,129858,2.15,>1.10
Neuroinvasive disease cases,1999-2022,22065,11978,1.04,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22067,27482,1.67,>1.10
Neuroinvasive disease cases,1999-2022,22069,39385,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22071,360822,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22073,154654,1.91,>1.10
Neuroinvasive disease cases,1999-2022,22077,22804,1.64,>1.10
Neuroinvasive disease cases,1999-2022,22079,132019,2.56,>1.10
Neuroinvasive disease cases,1999-2022,22081,9082,0.92,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22083,20887,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22085,24426,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22087,39520,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22089,52394,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,22091,10967,2.28,>1.10
Neuroinvasive disease cases,1999-2022,22093,21787,0.76,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22095,45065,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22097,83458,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22099,52804,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22101,54199,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,22103,236900,1.55,>1.10
Neuroinvasive disease cases,1999-2022,22105,122694,2.00,>1.10
Neuroinvasive disease cases,1999-2022,22109,111690,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22111,22766,0.73,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22113,58198,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,22115,52297,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22117,47125,2.12,>1.10
Neuroinvasive disease cases,1999-2022,22119,41248,0.91,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22121,24125,1.21,>1.10
Neuroinvasive disease cases,1999-2022,22123,11521,1.81,>1.10
Neuroinvasive disease cases,1999-2022,22125,15511,0.81,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22127,15155,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,23005,282753,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24001,74580,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24003,544863,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24005,813021,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24009,89346,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24011,32890,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24013,167072,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24015,101583,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24017,149215,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24019,32702,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,24021,237326,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24025,246746,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24027,293596,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24031,991325,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24033,874594,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24035,48267,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24037,107589,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24041,37952,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24043,148807,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,24047,51504,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,24510,620493,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,25001,215389,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25003,130565,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25005,549355,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25009,751553,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25011,71711,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25013,466191,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25015,160192,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25017,1524996,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,25021,677823,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25023,498212,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,25025,737285,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,25027,804107,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26005,111167,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26011,15635,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26015,58921,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26017,107423,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26021,156911,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26023,43921,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26025,135111,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26027,52210,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26037,75902,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26045,107927,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26047,32749,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26049,422062,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26055,88362,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26057,42121,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26059,46602,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26065,282828,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26067,63865,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26073,70624,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26075,159666,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26077,252634,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26081,608543,0.92,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26083,2180,1.91,>1.10
Neuroinvasive disease cases,1999-2022,26087,88095,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26091,99370,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26093,182052,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26099,844159,0.89,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26103,67462,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26109,23870,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26111,83825,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26115,151511,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26117,63264,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26121,170056,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26123,48325,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26125,1212718,0.90,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26129,21488,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26135,8614,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26137,24115,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26139,266918,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26141,13151,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26145,198929,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26147,161586,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26149,61068,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26151,42704,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26155,70006,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26157,55400,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26159,75941,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,26161,350072,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,26163,1803003,1.01,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,26165,32637,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27003,332921,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27005,32766,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27007,45057,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27009,38738,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27011,5206,4.00,>1.10
Neuroinvasive disease cases,1999-2022,27013,64364,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27015,25660,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27019,92752,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27021,28383,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27023,12308,1.35,>1.10
Neuroinvasive disease cases,1999-2022,27025,53762,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27027,59937,1.39,>1.10
Neuroinvasive disease cases,1999-2022,27033,11716,2.49,>1.10
Neuroinvasive disease cases,1999-2022,27035,62679,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27037,401804,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27039,20204,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27041,36185,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27043,14460,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27045,20836,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27047,31070,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27049,46122,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27051,5991,1.39,>1.10
Neuroinvasive disease cases,1999-2022,27053,1169581,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27057,20516,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27059,38200,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27061,45103,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27063,10198,2.04,>1.10
Neuroinvasive disease cases,1999-2022,27067,42205,0.89,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27069,4540,0.92,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27071,13238,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27073,7221,2.89,>1.10
Neuroinvasive disease cases,1999-2022,27081,5808,2.15,>1.10
Neuroinvasive disease cases,1999-2022,27083,25834,1.13,>1.10
Neuroinvasive disease cases,1999-2022,27085,36345,0.46,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27087,5473,0.76,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27089,9458,1.76,>1.10
Neuroinvasive disease cases,1999-2022,27091,20627,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27093,23198,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27095,25842,0.64,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27097,33259,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27099,39349,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27101,8631,2.41,>1.10
Neuroinvasive disease cases,1999-2022,27105,21617,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27107,6806,1.84,>1.10
Neuroinvasive disease cases,1999-2022,27109,145849,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27111,57283,0.95,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27115,29621,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27117,9528,1.75,>1.10
Neuroinvasive disease cases,1999-2022,27119,31545,1.32,>1.10
Neuroinvasive disease cases,1999-2022,27121,10906,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27123,515856,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27127,16028,1.56,>1.10
Neuroinvasive disease cases,1999-2022,27129,15429,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27131,64458,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27133,9601,2.17,>1.10
Neuroinvasive disease cases,1999-2022,27135,15517,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27137,200437,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27139,132581,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27141,89279,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27143,15167,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27145,151372,0.50,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27147,36576,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27149,9707,2.58,>1.10
Neuroinvasive disease cases,1999-2022,27151,9681,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,27153,24882,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27155,3490,5.97,>1.10
Neuroinvasive disease cases,1999-2022,27157,21609,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27159,13650,1.22,>1.10
Neuroinvasive disease cases,1999-2022,27163,241428,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27165,11168,1.12,>1.10
Neuroinvasive disease cases,1999-2022,27167,6577,5.07,>1.10
Neuroinvasive disease cases,1999-2022,27169,51359,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,27171,126239,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,27173,10293,2.83,>1.10
Neuroinvasive disease cases,1999-2022,28001,32436,2.57,>1.10
Neuroinvasive disease cases,1999-2022,28003,37292,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28007,19386,1.07,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28011,33807,0.62,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28013,14903,2.52,>1.10
Neuroinvasive disease cases,1999-2022,28017,17497,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28021,9779,1.70,>1.10
Neuroinvasive disease cases,1999-2022,28023,16692,1.25,>1.10
Neuroinvasive disease cases,1999-2022,28025,20504,1.42,>1.10
Neuroinvasive disease cases,1999-2022,28027,25861,1.29,>1.10
Neuroinvasive disease cases,1999-2022,28029,29280,1.71,>1.10
Neuroinvasive disease cases,1999-2022,28031,19488,0.64,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28033,164133,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28035,75796,4.01,>1.10
Neuroinvasive disease cases,1999-2022,28039,22860,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28041,14319,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28043,21609,1.16,>1.10
Neuroinvasive disease cases,1999-2022,28045,44767,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28047,191130,0.74,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28049,248221,2.79,>1.10
Neuroinvasive disease cases,1999-2022,28051,19081,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28053,9316,2.24,>1.10
Neuroinvasive disease cases,1999-2022,28057,23271,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28059,140058,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28061,16857,1.24,>1.10
Neuroinvasive disease cases,1999-2022,28063,7599,1.10,>1.10
Neuroinvasive disease cases,1999-2022,28065,12163,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28067,67945,1.90,>1.10
Neuroinvasive disease cases,1999-2022,28069,10292,0.81,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28073,57390,1.74,>1.10
Neuroinvasive disease cases,1999-2022,28075,80663,0.62,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28077,12748,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28079,23251,1.08,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28081,84032,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28083,32073,1.43,>1.10
Neuroinvasive disease cases,1999-2022,28085,34870,1.91,>1.10
Neuroinvasive disease cases,1999-2022,28087,59626,0.56,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28089,96977,1.89,>1.10
Neuroinvasive disease cases,1999-2022,28091,26669,1.72,>1.10
Neuroinvasive disease cases,1999-2022,28093,36771,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,28095,36601,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28097,10771,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28099,29758,0.84,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28101,21424,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28103,11295,0.74,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28105,47776,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,28107,34480,0.85,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28109,55441,1.58,>1.10
Neuroinvasive disease cases,1999-2022,28111,12155,2.06,>1.10
Neuroinvasive disease cases,1999-2022,28113,40436,1.03,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28115,29782,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,28117,25368,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,28119,8050,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28121,144209,2.22,>1.10
Neuroinvasive disease cases,1999-2022,28123,28386,1.47,>1.10
Neuroinvasive disease cases,1999-2022,28127,27407,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28129,16523,0.76,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28131,17900,0.70,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28133,28519,1.31,>1.10
Neuroinvasive disease cases,1999-2022,28135,15329,1.63,>1.10
Neuroinvasive disease cases,1999-2022,28137,28734,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,28147,15372,0.81,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28149,48325,0.78,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28151,50465,1.32,>1.10
Neuroinvasive disease cases,1999-2022,28153,20629,1.01,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,28163,28275,1.77,>1.10
Neuroinvasive disease cases,1999-2022,29001,25676,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29003,17199,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29007,25535,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29011,12346,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29019,166287,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29021,89748,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29025,9276,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29027,44311,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29033,9252,1.35,>1.10
Neuroinvasive disease cases,1999-2022,29037,100017,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29039,13914,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29041,7744,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29043,78664,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29045,7028,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29047,225271,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29049,20679,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29051,76490,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29055,24817,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29061,8289,1.51,>1.10
Neuroinvasive disease cases,1999-2022,29065,15620,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29069,32018,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29071,101618,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29077,277510,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29085,9614,0.43,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29087,4838,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29089,10219,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29091,40578,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29093,10618,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29095,675644,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29097,115313,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29099,219605,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29105,35668,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29107,33213,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29109,38502,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29111,10217,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29115,12602,0.66,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29119,22897,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29121,15473,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29131,24705,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29135,15711,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29141,20375,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29145,58564,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29147,23439,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29159,42147,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29161,45260,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29163,18665,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29165,90912,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29169,53322,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29175,25283,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29183,365614,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29186,18196,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29187,65596,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29189,1000147,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29195,23409,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29197,4390,0.95,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29199,4839,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29201,39159,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29203,8414,0.50,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29207,29850,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29215,25935,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29217,21090,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,29221,25106,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29225,36451,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,29227,2118,1.97,>1.10
Neuroinvasive disease cases,1999-2022,29229,18569,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,29510,319417,1.81,>1.10
Neuroinvasive disease cases,1999-2022,30003,13058,2.87,>1.10
Neuroinvasive disease cases,1999-2022,30005,6576,6.34,>1.10
Neuroinvasive disease cases,1999-2022,30009,10089,1.24,>1.10
Neuroinvasive disease cases,1999-2022,30013,81734,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,30015,5812,2.15,>1.10
Neuroinvasive disease cases,1999-2022,30017,11759,3.19,>1.10
Neuroinvasive disease cases,1999-2022,30021,9030,1.85,>1.10
Neuroinvasive disease cases,1999-2022,30025,2930,7.11,>1.10
Neuroinvasive disease cases,1999-2022,30029,91282,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,30031,91413,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,30033,1254,3.32,>1.10
Neuroinvasive disease cases,1999-2022,30035,13579,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,30041,16391,2.03,>1.10
Neuroinvasive disease cases,1999-2022,30047,28983,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,30049,64284,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,30055,1709,4.88,>1.10
Neuroinvasive disease cases,1999-2022,30063,110270,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,30065,4747,0.88,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,30067,15512,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,30071,4186,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,30073,6195,1.35,>1.10
Neuroinvasive disease cases,1999-2022,30075,1739,2.40,>1.10
Neuroinvasive disease cases,1999-2022,30079,1141,7.30,>1.10
Neuroinvasive disease cases,1999-2022,30081,40387,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,30083,10151,3.28,>1.10
Neuroinvasive disease cases,1999-2022,30085,10496,4.76,>1.10
Neuroinvasive disease cases,1999-2022,30087,9328,3.57,>1.10
Neuroinvasive disease cases,1999-2022,30089,11402,0.73,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,30091,3418,8.53,>1.10
Neuroinvasive disease cases,1999-2022,30093,34420,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,30095,9153,2.73,>1.10
Neuroinvasive disease cases,1999-2022,30099,6060,1.38,>1.10
Neuroinvasive disease cases,1999-2022,30101,5157,2.42,>1.10
Neuroinvasive disease cases,1999-2022,30103,709,11.75,>1.10
Neuroinvasive disease cases,1999-2022,30105,7463,6.70,>1.10
Neuroinvasive disease cases,1999-2022,30109,982,4.24,>1.10
Neuroinvasive disease cases,1999-2022,30111,149805,1.03,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,31001,31207,3.74,>1.10
Neuroinvasive disease cases,1999-2022,31007,659,12.65,>1.10
Neuroinvasive disease cases,1999-2022,31011,5406,6.94,>1.10
Neuroinvasive disease cases,1999-2022,31013,11298,1.11,>1.10
